股票代號,股票名稱,收盤價,月平均價
"03228P","富采國票24售01","","2.19"
"03230P","長榮康和23售05","1.73","1.83"
"03232P","聯發科中信23售02","0.73","0.73"
"03234P","萬海中信23售02","0.89","0.94"
"03235P","大立光中信24售02","0.64","0.69"
"03236P","陽明國泰25售06","2.45","2.58"
"03237P","儒鴻元大23售07","1.61","1.60"
"03240P","智邦元大23售17","2.17","2.23"
"03242P","南亞科元大23售06","0.26","0.28"
"03243P","義隆元大23售02","1.77","1.61"
"03244P","萬海元大23售30","2.25","2.27"
"03245P","兆豐金元大23售03","","2.07"
"03248P","新唐元大26售01","1.54","1.60"
"03249P","晶碩元大23售01","2.23","2.22"
"03250P","南電元大23售30","0.94","1.03"
"03251P","中鴻凱基25售01","0.81","0.79"
"03252P","聯電凱基23售15","0.83","0.84"
"03256P","聯發科凱基23售12","2.18","2.17"
"03257P","萬海凱基28售01","2.70","2.69"
"03259P","臺股指群益2A售02","4.94","4.88"
"03260P","華航康和26售01","","1.11"
"03261P","長榮航康和26售01","","1.30"
"03264P","玉晶光國票25售03","1.60","1.78"
"03265P","智原凱基25售02","0.89","0.87"
"03266P","臺股指凱基29售03","6.40","6.38"
"03267P","臺股指凱基29售04","4.61","4.64"
"03268P","智原元富23售01","1.13","1.09"
"03269P","南電元富23售08","1.10","1.15"
"03270P","長榮麥證27售02","4.83","4.92"
"03271P","萬海麥證26售01","3.39","3.52"
"03272P","智原麥證23售01","1.57","1.59"
"03273P","嘉澤麥證23售01","1.33","1.35"
"03274P","臺股指麥證23售16","6.40","6.29"
"03276P","萬海第一26售01","1.35","1.34"
"03277P","台積電群益25售01","2.57","2.40"
"03281P","長榮航群益24售05","6.05","6.08"
"03282P","王品群益24售01","1.61","1.80"
"03283P","富采群益25售01","","1.39"
"03284P","創意統一23售08","0.82","0.94"
"03287P","台灣50永豐24售01","1.21","1.21"
"03288P","微星永豐25售01","0.83","0.84"
"03289P","長榮永豐24售02","0.92","0.96"
"03291P","長榮國票24售03","2.21","2.31"
"03294P","華航永豐25售01","","1.05"
"03295P","國泰金國票24售02","","0.78"
"03296P","景碩國票24售03","1.51","1.51"
"03297P","華擎國票24售02","0.91","0.86"
"03299P","世芯國票23售05","1.66","1.81"
"03300P","萬海永豐23售04","","2.27"
"03301P","長榮元富23售15","","2.53"
"03302P","長榮航永豐24售03","","1.04"
"03303P","長榮元富26售05","","3.69"
"03305P","萬海元富23售06","2.99","2.99"
"03306P","鴻海凱基24售07","","2.05"
"03307P","聯發科凱基23售13","2.31","2.30"
"03308P","聯發科凱基24售10","1.66","1.60"
"03309P","聯發科凱基24售11","1.70","1.66"
"03310P","長榮凱基25售09","3.26","3.30"
"03311P","友達元富26售02","0.99","1.01"
"03312P","聯發科元富24售06","","0.89"
"03313P","長榮航麥證24售02","1.05","1.28"
"03314P","陽明凱基25售01","3.30","3.35"
"03315P","國泰金凱基29售01","0.64","0.69"
"03316P","欣興凱基25售06","1.55","1.61"
"03317P","臺股指凱基29售07","","4.38"
"03318P","中砂元大26售02","0.92","0.92"
"03319P","亞德客元大23售04","","1.44"
"03320P","華新元大23售13","","1.95"
"03321P","大成鋼元大23售08","1.24","1.24"
"03322P","台積電元大23售73","2.26","2.17"
"03323P","敦泰元大27售01","0.69","0.68"
"03324P","富采元大23售05","","0.72"
"03326P","SGBR2X凱基28售07","","2.02"
"03327P","聯電凱基24售08","1.84","1.83"
"03329P","晶碩元大23售02","2.36","2.43"
"03330P","愛普元大23售10","1.17","1.23"
"03331P","惠特元大23售05","0.95","0.99"
"03334P","陽明永豐23售05","1.71","1.83"
"03335P","元日2X國票25售03","1.14","1.14"
"03336P","陽明國票25售01","","2.13"
"03337P","創意國票24售02","2.96","3.53"
"03338P","貿聯國票24售03","1.49","1.72"
"03339P","晶心科國票23售04","1.06","1.22"
"03340P","鴻海凱基27售02","","2.21"
"03341P","美費半群益23售03","1.23","1.18"
"03343P","聯發科群益24售01","0.97","0.96"
"03344P","聯發科群益24售02","","2.05"
"03345P","聯發科群益24售03","1.96","1.91"
"03346P","晶華統一23售02","0.57","0.57"
"03347P","聯發科兆豐24售03","0.81","0.77"
"03348P","道瓊2X中信25售01","0.88","0.86"
